name,id,type,organisation,author,author_email,maintainer,maintainer_email,notes,updated
Leisure Centres in Salford,7451dc68-6b45-4b1d-9541-0afb93816e39,dataset,Salford City Council,,,,,"Leisure centres in Salford that are managed by [Salford Community Leisure](http://www.salfordcommunityleisure.co.uk/ ""Salford Community Leisure website""). Details include name. location, contact details and website address.",2015-09-24
Council tax bands,68795710-8073-40d4-84b7-c85c364f60a3,dataset,Salford City Council,,,,,Council tax bands for the current year.,2015-09-24
Conservation Areas,628b09d5-94ab-405b-8a3c-29289712b99e,dataset,Salford City Council,,,,,"Areas of special architectural or historic interest within Salford, (the character or appearance of which it is desirable to preserve or enhance) as per the powers of Section 69 of the Planning (Listed Buildings and Conservation Areas) Act 1990.",2015-09-24
(Definitive) Public Rights of Way,4d52f0fa-e792-48a9-bc12-b5f0692543c0,dataset,Salford City Council,,,,,Definitive Right of Way network for Salford,2015-09-24
Street Lights,3b1b594f-e1a3-495b-a6c0-221fff9d1ffd,dataset,Salford City Council,,,,,Location and relevant details on Salford City Council's street lighting columns.,2015-09-24
Community Centres in Salford,37658402-a779-4cb5-b4c6-9b59c0ebe1b1,dataset,Salford City Council,,,,,"Community centres in Salford that are managed by [Salford Community Leisure](http://www.salfordcommunityleisure.co.uk/ ""Salford Community Leisure website"") including name, location, website and Unique Property Reference Number (UPRN)",2015-09-24
INSPIRE spatial datasets,20b7139d-bfd6-4a8e-91ac-8307e35842b7,dataset,Salford City Council,,,,,"These are environmental spatial datasets that must be published by the council in order to comply with the EU INSPIRE directive.

For compliance with the metadata requirements they are catalogued via the UK Metadata Editor and harvested from here to this site and data.gov ; where they can be searched and accessed as individual datasets.",2015-09-24
Recycling Centres,07c1e816-22b4-49b9-911c-06838d2eeba1,dataset,Salford City Council,,,,,Recycling centres (bring sites) within Salford with locations and details of what can be recycled there.,2015-09-24
Salford City Council Trade Union Facility Time,b72dc420-bd6d-4bf5-b1d1-1abc773f268f,dataset,Salford City Council,Kathryn Kennedy,kathryn.kennedy@salford.gov.uk,Kathryn Kennedy,kathryn.kennedy@salford.gov.uk,"This dataset provides information on Trade Union's facility time at Salford City Council. Details are provided to meet the required standards of the Local Government Transparency Code 2014. 
",2015-09-22
Blue Plaques,7f265814-74d0-4c33-af3f-f514404171c5,dataset,Trafford Innovation and Intelligence Lab,Jamie Whyte,jamie.whyte@trafford.gov.uk,,,"Locations of Blue, or heritage, Plaques, with details.",2015-09-16
Council Tax Bands,10af0094-3803-4980-9592-620b456dc273,dataset,Salford City Council,,,,,These are our most recent council tax bands and charges.,2015-09-15
Trafford Supplier Spend 2013,4b00225b-3a4f-4e48-8de7-7b096a1acd35,dataset,Trafford Council,Jamie Whyte,jamie.whyte@trafford.gov.uk,Jamie Whyte,jamie.whyte@trafford.gov.uk,"Collection of CSV files showing supplier spend in Trafford in 2013, arranged by month",2015-09-02
Transparency Code - Trafford,d8083c55-feb4-41e9-bb14-2ceb48b58b9f,dataset,Trafford Council,,,,,Container for all data to be released as part of the mandatory Transparency Code ,2015-09-02
Jobseekers Allowance Claimants,ee5bc4e7-0cf7-4aa2-b4b4-5cc7756dea8b,dataset,Trafford Innovation and Intelligence Lab,,,,,Number and percentage of jobseekers allowance claimants,2015-07-26
What's on in Salford,63c6e3ef-4e17-4c6a-83be-e13f2fa9f970,dataset,Salford City Council,,,,,Forthcoming events taking place in Salford.,2015-07-01
Current job vacancies,b7eb6cf8-6db0-44a0-ba13-9ee609ffa324,dataset,Salford City Council,,,,,"All current Salford City Council job vacancies, provided by [yourcounciljobs](https://www.yourcounciljobs.co.uk/)",2015-07-01
Recent press releases,ba1cbb9d-452b-4103-8771-85be503d3790,dataset,Salford City Council,,,,,The latest press releases published by Salford City Council.,2015-07-01
Decisions of the council,da48fd9c-1df0-406b-b66b-80f55e776b82,dataset,Salford City Council,,,,,"The most recent 15 decisions made by the Cabinet, an individual Member of the Cabinet, a Committee of the Cabinet, or under joint arrangements.",2015-07-01
Allotment Sites,7485a542-b781-40cc-99dd-28a38388de12,dataset,Salford City Council,NA,NA,NA,NA,Salford City Council managed allotment sites.,2015-06-25
Rochdale Supplier Spend - September 2010,caa8bbd0-5492-4b0b-96fc-66f42ea4aec6,dataset,Rochdale Metropolitan Borough Council,Rochdale Council,NA,NA,NA,Supplier Spend £500+,2015-06-11
Number of Red1 responses by North West Ambulance Service in Trafford,374e33f7-66be-4e07-88c2-1f0d4bb1c94e,dataset,Trafford Innovation and Intelligence Lab,,,,,This dataset was obtained from NWAS to support the rollout of defibrillators in Trafford.,2015-06-11
Rail park and ride spaces,db16ac67-c2d9-4242-82f2-fa876e497b9e,dataset,Transport for Greater Manchester,,,Michelle Peel,opendata@tfgm.com,"Park & Ride spaces at Rail stations in GM. Source: TfGM. RESTRICTIONS: None

",2015-06-05
Salford City Council INSPIRE OGC WFS service,0c37021a-3815-4791-b21a-b592e01383db,dataset,Salford City Council,NA,NA,NA,NA,Salford City Council INSPIRE OGC WFS (download) service. Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.,2015-05-22
Food Production Facilities,0ed362a8-cf38-4de0-9163-7428f372a975,dataset,Salford City Council,NA,NA,NA,NA,"Dataset of food production businesses operating within Salford City and either registered or approved as food businesses under Regulation (EC) No. 852/2004 or 853/2004.

Food businesses must register with local authorities in order for them to keep an up-to-date list of food premises in their area, inspect them on a risk based frequency and all food premises are required to complete a food premises registration form. Businesses that do not sell food to the public, for example food manufacturers, may instead need to have their premises approved under Regulation EC Number 853/2004.

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
Salford City Council INSPIRE OGC WMS service,14e126eb-3b93-44ca-9262-fb5d7b0d9536,dataset,Salford City Council,NA,NA,NA,NA,Salford City Council INSPIRE OGC WMS (view) service. Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.,2015-05-22
Wildlife Corridors Areas of Search,16e29ddd-41b3-4dc4-bb65-29aa018a74f0,dataset,Salford City Council,NA,NA,NA,NA,"Wildlife corridors areas of search as defined in Salford UDP 2006.
These areas are the areas within which UDP Policy EN9 operates.
They are areas of search for wildlife corridors - land which enhances the ability of species to move through the city.

The unitary development plan (UDP) is a statutory document that sets out the council's planning policies that are used to guide development, conservation, regeneration and environmental improvement activity in Salford.

The UDP and other adopted development plan documents comprise the development plan for the city. 
Decisions on planning applications must be made in line with the development plan, unless there are clear material considerations which dictate why this should not be the case.

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
Parking Zones,179dc9ac-4e89-4248-9c97-3870b818bd50,dataset,Salford City Council,NA,NA,NA,NA,"A controlled parking zone has been introduced which restricts waiting throughout the zone and which is subject to pay and display charging.
Highway signage displays the restriction applicable at all entry points into the zone. Generally speaking the zone restricts waiting between the hours of 8am and 6pm, Monday to Friday, and 8am and 12.30pm on Saturdays.
Attention should be given to additional signposting within the zone which gives details of other pertinent restrictions in force at that point, particularly in relation to loading or unloading operations.
Some roads within the controlled zone permit waiting within marked bays subject to the purchase of a pay and display ticket, available at roadside machines. Care must be taken to display these tickets so that their details may be read from outside the vehicle by a Civil Enforcement Officer, otherwise a penalty charge notice may be issued.
Normal parking restrictions apply on public holidays, unless signs on site indicate otherwise.

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
Area covered by Local Flood Risk Management Strategy,1ce20b9f-616b-4dc9-b1a0-c054e1820d98,dataset,Salford City Council,NA,NA,NA,NA,"This is the area covered by the Local Flood Risk Management Strategy, which is the entirety of the city boundary.

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
City Airport Manchester Safeguarding Zone - developments attracting birds,231e95ce-beb4-4fa9-a9f2-62da7cf5e55b,dataset,Salford City Council,NA,NA,NA,NA,"Dataset showing an area of the city (known as a safeguarding zone) where the city council should consult with City Airport Manchester where development is likely to attract birds, such as proposals involving significant tree planting, minerals extraction or quarrying, waste disposal or management, reservoirs or other significant areas of water, land restoration schemes, sewage works, nature reserves of bird sanctuaries. 
The purpose of the safeguarding zone is to ensure that the operational integrity or safety of the airport may be assured.

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
Article 4 Direction,308e4e9b-1acd-4815-b20d-471d1beae0c8,dataset,Salford City Council,NA,NA,NA,NA,"An Article 4 Direction withdraws automatic planning permission granted by the General Permitted Development Order. 
Salford has one Article 4 Direction which applies to certain properties in the Mines Rescue Conservation Area in Boothstown. 
It was made in October 1994 by Salford City Council in an attempt to safeguard the unaltered frontages of the original 1930s houses. 
The direction applies to land comprised of the front elevations of numbers 1 to 15 Orchard Avenue and the front and side elevations of numbers 308, 310 and 320 Ellenbrook Road. 
The effect of such a direction further removes permitted development rights for these properties and as such planning permission is required for the following works; alterations comprising replacement window frames and rainwater goods;  any alteration to the roof;  the erection or construction of a porch outside the external door; the provision within the garden of a hard-standing; the erection, construction, maintenance, improvement or alteration of a gate, fence, wall or other means of enclosure; the formation, laying out and construction of a means of vehicular access to Orchard Avenue or Ellenbrook Road.

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
Barton Strategic Regional Site,467ca24e-d326-409b-bf72-aee7c991132e,dataset,Salford City Council,NA,NA,NA,NA,"Dataset showing the extent of the Barton Strategic Regional Site, identified in the City of Salford Unitary Development Plan 2006 - 2016 as a key location potentially providing for employment development, a multi-modal freight interchange and/or a sports stadium (policy E1 - Strategic Regional Site, Barton). 
As at November 2013 the site had been partially developed to provide the Salford City Stadium with much of the remaining area with planning permission to provide a multi-modal freight interchange (Port Salford) along with associated transport infrastructure.

The unitary development plan (UDP) is a statutory document that sets out the council's planning policies that are used to guide development, conservation, regeneration and environmental improvement activity in Salford. 
The UDP and other adopted development plan documents comprise the development plan for the city.
Decisions on planning applications must be made in line with the development plan, unless there are clear material considerations which dictate why this should not be the case.

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
Local Landscape Character Assessment Areas,5334f91c-1f8e-487c-861c-01d27465f958,dataset,Salford City Council,NA,NA,NA,NA,"Different landscape character areas and sub areas as assessed under the 2007 Landscape Character Assessment consultation draft.
These areas are not designated as such but the character assessment provides context for planning decisions and planning policy.

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
Tree Preservation Orders,6d59736b-846c-478c-862d-b335749dbb34,dataset,Salford City Council,NA,NA,NA,NA,"Where a Tree Preservation Order (TPO) is made under Section 198 of the Town and County Planning Act 1990, the tree or group of trees are identified on a location plan. Copies of the order are served on the owners of land upon which the trees are growing, and on the owner occupiers of affected and joining properties.

Once an order has been made, the consent of the council is required before a tree may be pruned or felled. In certain circumstances, it may be agreed that pruning or removal may be permitted in order to accommodate development, but the TPO enables the council to control these actions and to obtain new planting to replace trees which are removed. You can download a form to get approval to carry out pruning or felling work to trees protected by a TPO. There is no fee involved.

If a tree is cut down, uprooted or wilfully destroyed or is deliberately damaged, or pruned in a manner likely to destroy it, in contravention of a TPO, the responsible person may be prosecuted and liable to pay a substantial fine.

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
Manchester Airport Safeguarding Zone - buildings exceeding 90m in height,6e01f594-a022-4126-9c1d-7874f233470a,dataset,Salford City Council,NA,NA,NA,NA,"Dataset showing an area of the city (known as a safeguarding zone) where the city council should consult with Manchester Airport when development for buildings, structures, erections and works exceeding 90m in height are proposed. 
The purpose of the safeguarding zone is to ensure that the operational integrity or safety of the airport may be assured.
The safeguarding zone is shown on the City of Salford Unitary Development Plan 2014-16 Policies saved beyond 21 June 2009 proposals map as Policy DEV7 (i).

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
Nitrogen Dioxide Diffusion Tube Sites,7667c871-d295-4cfd-98eb-a5b3f3339aae,dataset,Salford City Council,NA,NA,NA,NA,"Salford operates a nitrogen dioxide diffusion tube network to obtain information on the temporal and spatial variation. The network has over 10 years of data at various locations in the area. The tubes are exposed for set period and an annual average calculated

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
Proposals Map Data,7726ead8-cd51-4814-80ad-adaff830995f,dataset,Salford City Council,NA,NA,NA,NA,"The proposals map for Salford reflects the spatial policies of the adopted development plan. It contains policies from the UDP, the Minerals DPD and the Waste DPD. The datasets included are listed below.

UDP Datasets:

Archaeology / Ancient Monument, UDP Policy: CH5 (layer name: UDP_ANCIENT_MONUMENT)

Barton Aerodrome, UDP Policy: A14 (layer name: UDP_BARTON_AERODROME)

Chapel Street Frontage, UDP Policy: MX2 (layer name: UDP_CHAPEL_STREET_FRONTAGE)

Conservation Areas (Updated 2010), UDP Policy CH3 (layer name: UDP_CONSERVATION_AREAS_NEW)

Conservation Areas (at time of adoption, June 2006), UDP Policy: CH3 (layer name: UDP_CONSERVATION_AREAS_OLD)

Education, Health or Community Development Site, UDP Policy: EHC9 and EHC10 (layer name: UDP_EDUC_HEALTH_AND_COMM_DEV)

Employment Development Site, UDP Policy: E4 (layer name: UDP_EMPLOYMENT_DEVELOPMENT)

Existing Strategic Recreation Route, UDP Policy: R5 (layer name: UDP_EXISTING_STRAT_REC_ROUTES)

Green Belt, UDP Policy: EN1 (layer name: UDP_GREEN_BELT)

Housing Development Site, UDP Policy: H9 (layer name: UDP_HOUSING_DEVELOP_SITE)

Innovation Park, UDP Policy: E2 (layer name: UDP_INNOVATION_PARK)

Irwell Valley, UDP Policy: EN5 (layer name: UDP_IRWELL_VALLEY)

Key Recreation Area, UDP Policy: R4 (layer name: UDP_KEY_RECREATION_AREA)

Knowledge Capital, UDP Policy: E3 (layer name: UDP_KNOWLEDGE_CAPITAL)

Major Highway Proposal, UDP Policy: A9 (layer name: UDP_MAJOR_HIGHWAY_PROPOSALS)

Manchester Airport Safeguarding Zone – Buildings, structures, erections and works exceeding 90m in height, UDP Policy: DEV7(i) (layer name: UDP_MAN_AIRPORT_90M_CONSULT)

Manchester Airport Safeguarding Zone – Developments likely to attract birds, and/or applications connected with aviation use, UDP Policy: DEV7(ii) (layer name: UDP_MAN_AIRPORT_ATTRACT_BIRDS)

City Boundary and Manchester Airport Safeguarding Zone - Wind turbine development, UDP Policy: DEV7(iii) (layer name: UDP_MAN_AIRPORT_SAFEGUARD_ZONE)

Manchester, Bolton and Bury Canal, UDP Policy: CH7 (layer name: UDP_MBBC)

Metrolink Extension (Lowry Spur), UDP Policy: A3 (layer name: UDP_METROLINK_EXT_LOWRY_SPUR)

Mixed-Use Area, UDP Policy: MX1 (layer name: UDP_MIXED_USE_AREAS)

Mixed-Use Development Site, UDP Policy: MX3 (layer name: UDP_MIXED_USE_DEVELOP_SITE)

Mosslands, UDP Policy: EN11 (layer name: UDP_MOSSLANDS)

Mossland Heartland, UDP Policy: EN11 (layer name: UDP_MOSSLANDS_HEARTLAND)

New and Improved Recreation Land and Facilities, UDP Policy: R6 (layer name: UDP_NEW_AND_IMPROVED_REC_LAND)

New Sports Stadium, UDP Policy: E1C (layer name: UDP_NEW_SPORTS_STADIUM)

Parks and Gardens of Historic Interest, UDP Policy: CH6 (layer name: UDP_PARKS_AND_GARDENS)

Proposed Strategic Recreation Route, UDP Policy R5 (layer name: UDP_PROPOSED_STRAT_REC_ROUTES)

Retail Development Site, UDP Policy: S5 (layer name: UDP_RETAIL_DEVELOPMENT_SITE)

River Irwell Flood Control, UDP Policy: EN20 (layer name: UDP_RIVER_IRWELL_FLOOD_CONTROL)

Safeguarded Potential Transport Route, UDP Policy: A15 (layer name: UDP_SAFEGUARDED_POT_TRANSPORT)

Sites of Biological Importance (Updated Aug 2012 (2010 Survey)), UDP Policy: EN8 (layer name: UDP_SBI_NEW)

Sites of Biological Importance (at time of adoption, June 2006), UDP Policy: EN8 (layer name: UDP_SBI_OLD)

Strategic Regional Site, Barton, UDP Policy: E1 (layer name: UDP_STRATEGIC_REGIONAL_SITE)

Town / Neighbourhood Centre, UDP Policy: S1 (layer name: UDP_TOWN_AND_NEIGH_CENTRES)

Wildlife Corridor Key Area of Search, UDP Policy: EN9 (layer name: UDP_WILDLIFE_CORRIDOR)

Worsley Greenway, UDP Policy: EN2 (layer name: UDP_WORSLEY_GREENWAY)

Minerals DPD Datasets

Area of Search for Gravel (Minerals DPD Policy: 3 (layer name: MDPD_GRAVEL_AREA_OF_SEARCH)

Minerals Safeguarding Areas, Minerals DPD Policy: 8 (layer name: MDPD_MINERALS_SAFEGUARDING)

Minerals Site including those under restoration, Minerals DPD Policy: 11 (layer name: MDPD_MINERAL_SITES)

Rail-Linked Mineral Depots, Minerals DPD Policy: 11 (layer name: MDPD_SALFORD_RAIL_DEPOTS)

Waste DPD Datasets

Area Allocation for Waste Management Development, Waste DPD Policy 5 (layer name: WDPD_WASTE_MANAGEMENT_DEVELOP)

Allocation for Non-Hazardous Residual Waste Disposal, Waste DPD Policy: 7 (layer name: WDPD_NON_HAZARDOUS_WASTE)

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
Green Belt,98629a4f-5ae8-4c77-a928-39e9ca075959,dataset,Salford City Council,NA,NA,NA,NA,"Dataset showing the extent of Green Belt land in Salford as defined in the City of Salford Unitary Development Plan 2004 - 2016 (policy EN1). 

The unitary development plan (UDP) is a statutory document that sets out the council's planning policies that are used to guide development, conservation, regeneration and environmental improvement activity in Salford.

The UDP and other adopted development plan documents comprise the development plan for the city.
Decisions on planning applications must be made in line with the development plan, unless there are clear material considerations which dictate why this should not be the case. 

Green Belt is a protective planning policy designation set out in national planning policy (currently the National Planning Policy Framework).

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
City Airport Manchester Safeguarding Zone - wind turbines,9f23f52e-bac6-443c-823f-91aa100e3681,dataset,Salford City Council,NA,NA,NA,NA,"Dataset showing that the city council should consult with City Airport Manchester for any wind turbine development within 5km of the airports centroid.

The purpose of the safeguarding zone is to ensure that the operational integrity or safety of the airport may be assured

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
Administrative and Government Services,a03759c5-62b8-4924-93f0-cafc1daa50cd,dataset,Salford City Council,NA,NA,NA,NA,"Administrative and social governmental services such as public administrations, civil protection, sites, schools, hospitals. This is point-based location of a variety of categories of municipal and governmental services and social infrastructure, such as police stations, fire fighter stations, hospitals, health care centres, care centres for the elderly, schools and kindergartens, renovation/ waste delivery sites and government and municipal offices.

This is address data reflecting where Administrative and Government Services exist. This data is subject to change at any time should the services re-locate.

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
Manchester Airport Safeguarding Zone - wind turbines,a225f1a8-cfaf-4e60-9f89-282ddb8cc09c,dataset,Salford City Council,NA,NA,NA,NA,"Dataset showing that the city council should consult with Manchester Airport for any wind turbine development within the city boundary.

The purpose of the safeguarding zone is to ensure that the operational integrity or safety of the airport may be assured.

The safeguarding zone is shown on the City of Salford Unitary Development Plan 2014-16 Policies saved beyond 21 June 2009 proposals map as Policy DEV7 (iii).

The unitary development plan (UDP) is a statutory document that sets out the council's planning policies that are used to guide development, conservation, regeneration and environmental improvement activity in Salford. 

The UDP and other adopted development plan documents comprise the development plan for the city.
 
Decisions on planning applications must be made in line with the development plan, unless there are clear material considerations which dictate why this should not be the case.

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
Land and property assets,a3721ae1-c6b4-4f91-9d8f-63f4741f4c0a,dataset,Salford City Council,NA,NA,NA,NA,"Dataset of land and property assets, where the Council has either has an ownership or occupational interest. 
Council housing stock properties are not part of the land and property dataset.

Roads/highways/highway infrastructure are not part of the land and property dataset.

The boundaries represent occupational boundaries which may differ from the Council’s legal title boundary.

Assets may be subject, in whole or part, to third party interests, for example, tenancies, leases, rights etc. Assets may be subject to long-term leases and therefore the record reflects the Council’s reversionary interest only.

Asset numbers: Salford City Council Asset Register number
Asset classification: Assets are classified in accordance with the International Financial Reporting Standards (IFRS) classifications.

Data is subject to constant change.

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
Manchester Airport Safeguarding Zone - development likely to attract birds,a9900d18-c9ec-4142-bbe2-8577222e1e69,dataset,Salford City Council,NA,NA,NA,NA,"Dataset showing an area of the city (known as a safeguarding zone) where the city council should consult with Manchester Airport where development is likely to attract birds, such as proposals involving significant tree planting, minerals extraction or quarrying, waste disposal or management, reservoirs or other significant areas of water, land restoration schemes, sewage works, nature reserves or bird sanctuaries. 
The purpose of the safeguarding zone is to ensure that the operational integrity or safety of the airport may be assured.
The safeguarding zone is shown on the City of Salford Unitary Development Plan 2014-16 Policies saved beyond 21 June 2009 proposals map as Policy DEV7 (ii).

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
Electric Vehicle Charging Points,c0add7f3-181e-4a63-9c94-f4894e7e2483,dataset,Salford City Council,NA,NA,NA,NA,"Transport for Greater Manchester (TfGM) secured funding from the Office for Low Emission Vehicles (OLEV) to provide Electric Vehicle (EV) charging infrastructure across Greater Manchester, and the necessary back office management systems to operate the system.  
The Greater Manchester Electric Vehicle (GMEV) scheme was launched in June 2013 with approximately 200 charging bays available across Greater Manchester, in Salford there are 26 public charging bays. 

Further information on GMEV is available via http://ev.tfgm.com/

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
City Airport Manchester Safeguarding Zone - buildings exceeding specified height,dab25d2c-2697-4b03-8933-ca0afa8d6c23,dataset,Salford City Council,NA,NA,NA,NA,"Dataset showing areas of the city (known as safeguarding zones) where the city council should consult with City Airport Manchester for the following: buildings, structures, erections and works. In some areas of the city, the city council should consult the Airport on all developments, whereas elsewhere the need for consultation is dependant on the height of a proposed development (greater than 15m, 45m or 90m).
The purpose of the safeguarding zone is to ensure that the operational integrity or safety of the airport may be assured.

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
Air Quality Monitoring Stations,e47b049f-233c-4bfb-b0d5-c0c972da3632,dataset,Salford City Council,NA,NA,NA,NA,"Salford operates a number of automatic air quality stations for measurement of pollutants using continuous analyses. Some sites are part of the Department of Environment and Rural Affairs (DEFRA) Automatic Urban and Rural Network (AURN) and other are maintained by Salford City Council as part of the Greater Manchester Air Quality Network (GMAQN).  The network has over 10 years of data at various locations in the area. Data is available on Defraâs air quality pages, GreatAirManchester and Air Quality England.
The sites in Salford are Eccles (AURN), M60 (AURN) and Glazebury (AURN) 
Note Defra operate the Glazebury site and are responsible for it. Defra also collect and manage the information for Eccles and the M60 data is managed by Salford. 
Current pollutants monitored Nitrogen dioxide, PM10, PM2.5, O3
Data available as excel compatible files

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
Common Land and Village Greens,f47ef3e3-3e14-46fa-b0c4-e70396d830e1,dataset,Salford City Council,NA,NA,NA,NA,"Extents of common land and village greens in Salford as polygons. Common land is land, usually in private ownership, that has rights of common over it. The main features of common land are that it is generally open, unfenced and remote. Currently, the general public have no rights to go onto common land unless the land is an urban common, or is crossed by public rights of way. Village greens share a similar history to common land. However, they are defined separately for the purposes of the Commons Registration Act 1965. Village greens are usually areas of land within defined settlements or geographical areas which local inhabitants can go onto for the exercise of lawful sports and pastimes. Typically, these might include organised or ad-hoc games, picnics, fetes and other similar activities. Whilst land forming town or village greens may be privately owned, many greens are owned and maintained by local parish or community councils.

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
Minerals Safeguarding Areas,f9ae17f3-9281-4a17-a2a1-29d74c6d2338,dataset,Salford City Council,NA,NA,NA,NA,"Minerals Safeguarding Areas as defined under the Greater Manchester Joint Minerals Plan 2013.
These mineral safeguarding areas are necessary for the operation of policy 8 of the Minerals Plan.
They are designed to prevent minerals resources being needlessly sterilised by non-minerals development such as housing.

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
Town and Neighbourhood Centres,b4f470a2-d385-4c34-b830-3637bb05d184,dataset,Salford City Council,NA,NA,NA,NA,"Dataset of existing town and neighbourhood centres in Salford as defined in policy S1 of the City of Salford Unitary Development Plan 2004-16 Policies saved beyond 21 June 2009.

The unitary development plan (UDP) is a statutory document that sets out the council's planning policies that are used to guide development, conservation, regeneration and environmental improvement activity in Salford.

The UDP and other adopted development plan documents comprise the development plan for the city. 
Decisions on planning applications must be made in line with the development plan, unless there are clear material considerations which dictate why this should not be the case.

Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.",2015-05-22
Section 106 Agreement Sites,f8f8cb1c-3feb-4c92-bf15-2a8d93a8154e,dataset,Salford City Council,NA,NA,NA,NA,Section 106 of the Town and Country Planning Act 1990 allows a local planning authority to enter into a legally binding agreement or planning obligation with a developer in association with the granting of planning permission. Section 106 agreements are used by the City Council when it is considered that a development will have negative impacts that cannot be dealt with through conditions in the planning permission. Upon accessing this licensed data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE.,2015-05-22
2015 Local Election Candidates Trafford,4fb9447d-9924-48a3-8bc4-1b3ec14a7968,dataset,Trafford Innovation and Intelligence Lab,Jamie Whyte,jamie.whyte@trafford.gov.uk,,,List of candidates in Trafford's 2015 Local Election,2015-05-09
Geographical Lookups - LSOA to Localities in Trafford,42eccbea-f0a7-461a-906e-9874f116926c,dataset,Trafford Innovation and Intelligence Lab,Jamie Whyte,jamie.whyte@trafford.gov.uk,,,CSV file which allows lookup from LSOAs in Trafford to Localities. Useful for aggregating data.,2015-04-30
Trafford Energy Consumption,0068507a-57bb-4f94-9d49-39d81617b01a,dataset,Trafford Innovation and Intelligence Lab,Paul Westland,infotrafford@trafford.gov.uk,Paul Westland,infotrafford@trafford.gov.uk,Datasets with energy consumption at postcode level for Trafford.  Postcodes with fewer than 6 meters have been excluded from this set.,2015-04-25
